DATETIME, Mount Head Flow
2019-06-04 11:26:36:70,-0.685
2019-06-04 11:26:36:73,-0.685
2019-06-04 11:26:36:75,-0.685
2019-06-04 11:26:36:76,-0.685
2019-06-04 11:26:36:78,-0.685
2019-06-04 11:26:36:80,-0.685
2019-06-04 11:26:36:81,-0.685
2019-06-04 11:26:36:84,-0.685
2019-06-04 11:26:36:86,-0.685
2019-06-04 11:26:36:87,-0.685
2019-06-04 11:26:37:05,-0.682
2019-06-04 11:26:37:08,-0.682
2019-06-04 11:26:37:09,-0.682
2019-06-04 11:26:37:12,-0.682
2019-06-04 11:26:37:14,-0.682
2019-06-04 11:26:37:17,-0.682
2019-06-04 11:26:37:19,-0.682
2019-06-04 11:26:37:20,-0.682
2019-06-04 11:26:37:22,-0.682
2019-06-04 11:26:37:23,-0.682
2019-06-04 11:26:37:25,-0.682
2019-06-04 11:26:37:28,-0.682
2019-06-04 11:26:37:31,-0.682
2019-06-04 11:26:37:33,-0.682
2019-06-04 11:26:37:34,-0.682
2019-06-04 11:26:37:36,-0.682
2019-06-04 11:26:37:39,-0.682
2019-06-04 11:26:37:40,-0.682
2019-06-04 11:26:37:42,-0.682
2019-06-04 11:26:37:44,-0.682
2019-06-04 11:26:37:45,-0.682
2019-06-04 11:26:37:47,-0.682
2019-06-04 11:26:37:50,-0.682
2019-06-04 11:26:37:51,-0.682
2019-06-04 11:26:37:54,-0.682
2019-06-04 11:26:37:56,-0.682
2019-06-04 11:26:37:58,-0.682
2019-06-04 11:26:37:61,-0.682
2019-06-04 11:26:37:62,-0.682
2019-06-04 11:26:37:64,-0.682
2019-06-04 11:26:37:65,-0.682
2019-06-04 11:26:37:67,-0.682
2019-06-04 11:26:37:69,-0.682
2019-06-04 11:26:37:72,-0.682
2019-06-04 11:26:37:73,-0.682
2019-06-04 11:26:37:75,-0.682
2019-06-04 11:26:37:76,-0.682
2019-06-04 11:26:37:78,-0.682
2019-06-04 11:26:37:81,-0.682
2019-06-04 11:26:37:83,-0.682
2019-06-04 11:26:37:86,-0.682
2019-06-04 11:26:37:87,-0.682
2019-06-04 11:26:37:89,-0.682
2019-06-04 11:26:37:90,-0.682
2019-06-04 11:26:37:93,-0.682
2019-06-04 11:26:37:95,-0.682
2019-06-04 11:26:38:11,-0.684
2019-06-04 11:26:38:14,-0.684
2019-06-04 11:26:38:17,-0.684
2019-06-04 11:26:38:18,-0.684
2019-06-04 11:26:38:20,-0.684
2019-06-04 11:26:38:22,-0.684
2019-06-04 11:26:38:23,-0.684
2019-06-04 11:26:38:26,-0.684
2019-06-04 11:26:38:28,-0.684
2019-06-04 11:26:38:29,-0.684
2019-06-04 11:26:38:31,-0.684
2019-06-04 11:26:38:32,-0.684
2019-06-04 11:26:38:34,-0.684
2019-06-04 11:26:38:37,-0.684
2019-06-04 11:26:38:40,-0.684
2019-06-04 11:26:38:42,-0.684
2019-06-04 11:26:38:43,-0.684
2019-06-04 11:26:38:45,-0.684
2019-06-04 11:26:38:48,-0.684
2019-06-04 11:26:38:50,-0.684
2019-06-04 11:26:38:51,-0.684
2019-06-04 11:26:38:53,-0.684
2019-06-04 11:26:38:54,-0.684
2019-06-04 11:26:38:56,-0.684
2019-06-04 11:26:38:59,-0.684
2019-06-04 11:26:38:62,-0.684
2019-06-04 11:26:38:64,-0.684
2019-06-04 11:26:38:65,-0.684
2019-06-04 11:26:38:67,-0.684
2019-06-04 11:26:38:70,-0.684
2019-06-04 11:26:38:71,-0.684
2019-06-04 11:26:38:73,-0.684
2019-06-04 11:26:38:75,-0.684
2019-06-04 11:26:38:76,-0.684
2019-06-04 11:26:38:78,-0.684
2019-06-04 11:26:38:81,-0.684
2019-06-04 11:26:38:82,-0.684
2019-06-04 11:26:38:86,-0.684
2019-06-04 11:26:38:87,-0.684
2019-06-04 11:26:38:89,-0.684
2019-06-04 11:26:38:92,-0.684
2019-06-04 11:26:38:93,-0.684
2019-06-04 11:26:39:04,-0.683
2019-06-04 11:26:39:07,-0.683
2019-06-04 11:26:39:10,-0.683
2019-06-04 11:26:39:12,-0.683
2019-06-04 11:26:39:15,-0.683
2019-06-04 11:26:39:17,-0.683
2019-06-04 11:26:39:20,-0.683
2019-06-04 11:26:39:23,-0.683
2019-06-04 11:26:39:25,-0.683
2019-06-04 11:26:39:28,-0.683
2019-06-04 11:26:39:29,-0.683
2019-06-04 11:26:39:31,-0.683
2019-06-04 11:26:39:32,-0.683
2019-06-04 11:26:39:35,-0.683
2019-06-04 11:26:39:39,-0.683
2019-06-04 11:26:39:40,-0.683
2019-06-04 11:26:39:42,-0.683
2019-06-04 11:26:39:43,-0.683
2019-06-04 11:26:39:46,-0.683
2019-06-04 11:26:39:49,-0.683
2019-06-04 11:26:39:51,-0.683
2019-06-04 11:26:39:53,-0.683
2019-06-04 11:26:39:56,-0.683
2019-06-04 11:26:39:59,-0.683
2019-06-04 11:26:39:62,-0.683
2019-06-04 11:26:39:65,-0.683
2019-06-04 11:26:39:68,-0.683
2019-06-04 11:26:39:70,-0.683
2019-06-04 11:26:39:71,-0.683
2019-06-04 11:26:39:73,-0.683
2019-06-04 11:26:39:74,-0.683
2019-06-04 11:26:39:76,-0.683
2019-06-04 11:26:39:79,-0.683
2019-06-04 11:26:39:82,-0.683
2019-06-04 11:26:39:84,-0.683
2019-06-04 11:26:39:87,-0.683
2019-06-04 11:26:39:90,-0.683
2019-06-04 11:26:39:92,-0.683
2019-06-04 11:26:40:01,-0.67
2019-06-04 11:26:40:07,-0.67
2019-06-04 11:26:40:10,-0.67
2019-06-04 11:26:40:13,-0.67
2019-06-04 11:26:40:17,-0.67
2019-06-04 11:26:40:18,-0.67
2019-06-04 11:26:40:21,-0.67
2019-06-04 11:26:40:24,-0.67
2019-06-04 11:26:40:26,-0.67
2019-06-04 11:26:40:29,-0.67
2019-06-04 11:26:40:32,-0.67
2019-06-04 11:26:40:34,-0.67
2019-06-04 11:26:40:37,-0.67
2019-06-04 11:26:40:38,-0.67
2019-06-04 11:26:40:40,-0.67
2019-06-04 11:26:40:42,-0.67
2019-06-04 11:26:40:45,-0.67
2019-06-04 11:26:40:48,-0.67
2019-06-04 11:26:40:49,-0.67
2019-06-04 11:26:40:51,-0.67
2019-06-04 11:26:40:52,-0.67
2019-06-04 11:26:40:56,-0.67
2019-06-04 11:26:40:57,-0.67
2019-06-04 11:26:40:59,-0.67
2019-06-04 11:26:40:60,-0.67
2019-06-04 11:26:40:62,-0.67
2019-06-04 11:26:40:63,-0.67
2019-06-04 11:26:40:66,-0.67
2019-06-04 11:26:40:68,-0.67
2019-06-04 11:26:40:70,-0.67
2019-06-04 11:26:40:71,-0.67
2019-06-04 11:26:40:73,-0.67
2019-06-04 11:26:40:74,-0.67
2019-06-04 11:26:40:77,-0.67
2019-06-04 11:26:40:79,-0.67
2019-06-04 11:26:40:81,-0.67
2019-06-04 11:26:40:82,-0.67
2019-06-04 11:26:40:84,-0.67
2019-06-04 11:26:40:87,-0.67
2019-06-04 11:26:40:88,-0.67
